Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
5 Hz, ,0.00422411,0.00422411,0.00422411,0.00422411,0.00422411,0.00422411,0.00422411,0.00422411,
5.6 Hz, ,0.011822,0.011822,0.011822,0.011822,0.011822,0.011822,0.011822,0.011822,
6.2 Hz, ,0.00208162,0.00208162,0.00208162,0.00208162,0.00208162,0.00208162,0.00208162,0.00208162,
6.8 Hz, ,0.0108244,0.0108244,0.0108244,0.0108244,0.0108244,0.0108244,0.0108244,0.0108244,
7.4 Hz, ,0.00791975,0.00791975,0.00791975,0.00791975,0.00791975,0.00791975,0.00791975,0.00791975,
8 Hz, ,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,
8.6 Hz, ,0.0116279,0.0116279,0.0116279,0.0116279,0.0116279,0.0116279,0.0116279,0.0116279,
9.2 Hz, ,0.000539799,0.000539799,0.000539799,0.000539799,0.000539799,0.000539799,0.000539799,0.000539799,
9.8 Hz, ,0.0120979,0.0120979,0.0120979,0.0120979,0.0120979,0.0120979,0.0120979,0.0120979,
10.4 Hz, ,0.00596763,0.00596763,0.00596763,0.00596763,0.00596763,0.00596763,0.00596763,0.00596763,
11 Hz, ,0.00909546,0.00909546,0.00909546,0.00909546,0.00909546,0.00909546,0.00909546,0.00909546,
11.6 Hz, ,0.0109845,0.0109845,0.0109845,0.0109845,0.0109845,0.0109845,0.0109845,0.0109845,
12.2 Hz, ,0.00335043,0.00335043,0.00335043,0.00335043,0.00335043,0.00335043,0.00335043,0.00335043,
12.8 Hz, ,0.0130258,0.0130258,0.0130258,0.0130258,0.0130258,0.0130258,0.0130258,0.0130258,
13.4 Hz, ,0.00361105,0.00361105,0.00361105,0.00361105,0.00361105,0.00361105,0.00361105,0.00361105,
14 Hz, ,0.0113818,0.0113818,0.0113818,0.0113818,0.0113818,0.0113818,0.0113818,0.0113818,
14.6 Hz, ,0.00985707,0.00985707,0.00985707,0.00985707,0.00985707,0.00985707,0.00985707,0.00985707,
15.2 Hz, ,0.0063454,0.0063454,0.0063454,0.0063454,0.0063454,0.0063454,0.0063454,0.0063454,
15.8 Hz, ,0.0135654,0.0135654,0.0135654,0.0135654,0.0135654,0.0135654,0.0135654,0.0135654,
16.4 Hz, ,0.000822628,0.000822628,0.000822628,0.000822628,0.000822628,0.000822628,0.000822628,0.000822628,
17 Hz, ,0.0135315,0.0135315,0.0135315,0.0135315,0.0135315,0.0135315,0.0135315,0.0135315,
17.6 Hz, ,0.00819279,0.00819279,0.00819279,0.00819279,0.00819279,0.00819279,0.00819279,0.00819279,
18.2 Hz, ,0.00953359,0.00953359,0.00953359,0.00953359,0.00953359,0.00953359,0.00953359,0.00953359,
18.8 Hz, ,0.0136613,0.0136613,0.0136613,0.0136613,0.0136613,0.0136613,0.0136613,0.0136613,
19.4 Hz, ,0.00245089,0.00245089,0.00245089,0.00245089,0.00245089,0.00245089,0.00245089,0.00245089,
20 Hz, ,0.015519,0.015519,0.015519,0.015519,0.015519,0.015519,0.015519,0.015519,
20.6 Hz, ,0.00590752,0.00590752,0.00590752,0.00590752,0.00590752,0.00590752,0.00590752,0.00590752,
21.2 Hz, ,0.0129474,0.0129474,0.0129474,0.0129474,0.0129474,0.0129474,0.0129474,0.0129474,
21.8 Hz, ,0.0132348,0.0132348,0.0132348,0.0132348,0.0132348,0.0132348,0.0132348,0.0132348,
22.4 Hz, ,0.00630867,0.00630867,0.00630867,0.00630867,0.00630867,0.00630867,0.00630867,0.00630867,
23 Hz, ,0.0173203,0.0173203,0.0173203,0.0173203,0.0173203,0.0173203,0.0173203,0.0173203,
23.6 Hz, ,0.00285975,0.00285975,0.00285975,0.00285975,0.00285975,0.00285975,0.00285975,0.00285975,
24.2 Hz, ,0.0166616,0.0166616,0.0166616,0.0166616,0.0166616,0.0166616,0.0166616,0.0166616,
24.8 Hz, ,0.0121623,0.0121623,0.0121623,0.0121623,0.0121623,0.0121623,0.0121623,0.0121623,
25.4 Hz, ,0.0109361,0.0109361,0.0109361,0.0109361,0.0109361,0.0109361,0.0109361,0.0109361,
26 Hz, ,0.0189139,0.0189139,0.0189139,0.0189139,0.0189139,0.0189139,0.0189139,0.0189139,
26.6 Hz, ,0.00120394,0.00120394,0.00120394,0.00120394,0.00120394,0.00120394,0.00120394,0.00120394,
27.2 Hz, ,0.0208332,0.0208332,0.0208332,0.0208332,0.0208332,0.0208332,0.0208332,0.0208332,
27.8 Hz, ,0.0102293,0.0102293,0.0102293,0.0102293,0.0102293,0.0102293,0.0102293,0.0102293,
28.4 Hz, ,0.0166946,0.0166946,0.0166946,0.0166946,0.0166946,0.0166946,0.0166946,0.0166946,
29 Hz, ,0.0202807,0.0202807,0.0202807,0.0202807,0.0202807,0.0202807,0.0202807,0.0202807,
29.6 Hz, ,0.00677715,0.00677715,0.00677715,0.00677715,0.00677715,0.00677715,0.00677715,0.00677715,
30.2 Hz, ,0.0257971,0.0257971,0.0257971,0.0257971,0.0257971,0.0257971,0.0257971,0.0257971,
30.8 Hz, ,0.00701441,0.00701441,0.00701441,0.00701441,0.00701441,0.00701441,0.00701441,0.00701441,
