Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
0 Hz, ,0.0101758,0.0101758,0.0101758,0.0101758,0.0101758,0.0101758,0.0101758,0.0101758,
0.6 Hz, ,0.00284346,0.00284346,0.00284346,0.00284346,0.00284346,0.00284346,0.00284346,0.00284346,
1.2 Hz, ,0.00860485,0.00860485,0.00860485,0.00860485,0.00860485,0.00860485,0.00860485,0.00860485,
1.8 Hz, ,0.00765311,0.00765311,0.00765311,0.00765311,0.00765311,0.00765311,0.00765311,0.00765311,
2.4 Hz, ,0.00436298,0.00436298,0.00436298,0.00436298,0.00436298,0.00436298,0.00436298,0.00436298,
3 Hz, ,0.0101308,0.0101308,0.0101308,0.0101308,0.0101308,0.0101308,0.0101308,0.0101308,
3.6 Hz, ,0.00129463,0.00129463,0.00129463,0.00129463,0.00129463,0.00129463,0.00129463,0.00129463,
4.2 Hz, ,0.00949161,0.00949161,0.00949161,0.00949161,0.00949161,0.00949161,0.00949161,0.00949161,
4.8 Hz, ,0.00661695,0.00661695,0.00661695,0.00661695,0.00661695,0.00661695,0.00661695,0.00661695,
5.4 Hz, ,0.00588142,0.00588142,0.00588142,0.00588142,0.00588142,0.00588142,0.00588142,0.00588142,
6 Hz, ,0.00999606,0.00999606,0.00999606,0.00999606,0.00999606,0.00999606,0.00999606,0.00999606,
6.6 Hz, ,0.000384661,0.000384661,0.000384661,0.000384661,0.000384661,0.000384661,0.000384661,0.000384661,
7.2 Hz, ,0.0103353,0.0103353,0.0103353,0.0103353,0.0103353,0.0103353,0.0103353,0.0103353,
7.8 Hz, ,0.00547487,0.00547487,0.00547487,0.00547487,0.00547487,0.00547487,0.00547487,0.00547487,
8.4 Hz, ,0.00743641,0.00743641,0.00743641,0.00743641,0.00743641,0.00743641,0.00743641,0.00743641,
9 Hz, ,0.0097729,0.0097729,0.0097729,0.0097729,0.0097729,0.0097729,0.0097729,0.0097729,
9.6 Hz, ,0.00208104,0.00208104,0.00208104,0.00208104,0.00208104,0.00208104,0.00208104,0.00208104,
10.2 Hz, ,0.0111656,0.0111656,0.0111656,0.0111656,0.0111656,0.0111656,0.0111656,0.0111656,
10.8 Hz, ,0.00419791,0.00419791,0.00419791,0.00419791,0.00419791,0.00419791,0.00419791,0.00419791,
11.4 Hz, ,0.00908207,0.00908207,0.00908207,0.00908207,0.00908207,0.00908207,0.00908207,0.00908207,
12 Hz, ,0.00946332,0.00946332,0.00946332,0.00946332,0.00946332,0.00946332,0.00946332,0.00946332,
12.6 Hz, ,0.00398325,0.00398325,0.00398325,0.00398325,0.00398325,0.00398325,0.00398325,0.00398325,
13.2 Hz, ,0.012028,0.012028,0.012028,0.012028,0.012028,0.012028,0.012028,0.012028,
13.8 Hz, ,0.00274089,0.00274089,0.00274089,0.00274089,0.00274089,0.00274089,0.00274089,0.00274089,
14.4 Hz, ,0.0109056,0.0109056,0.0109056,0.0109056,0.0109056,0.0109056,0.0109056,0.0109056,
15 Hz, ,0.00907009,0.00907009,0.00907009,0.00907009,0.00907009,0.00907009,0.00907009,0.00907009,
15.6 Hz, ,0.00616761,0.00616761,0.00616761,0.00616761,0.00616761,0.00616761,0.00616761,0.00616761,
