Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
0 Hz, ,0.0186339,0.0186339,0.0186339,0.0186339,0.0186339,0.0186339,0.0186339,0.0186339,
1 Hz, ,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,
2 Hz, ,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,
3 Hz, ,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,
4 Hz, ,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,
5 Hz, ,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,
6 Hz, ,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,
7 Hz, ,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,
8 Hz, ,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,
9 Hz, ,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,
10 Hz, ,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,
11 Hz, ,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,
12 Hz, ,0.015851,0.015851,0.015851,0.015851,0.015851,0.015851,0.015851,0.015851,
13 Hz, ,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,
14 Hz, ,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,
15 Hz, ,0.0144337,0.0144337,0.0144337,0.0144337,0.0144337,0.0144337,0.0144337,0.0144337,
16 Hz, ,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,
