Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
0 Hz, ,0.00662185,0.00662185,0.00662185,0.00662185,0.00662185,0.00662185,0.00662185,0.00662185,
0.5 Hz, ,0.00172621,0.00172621,0.00172621,0.00172621,0.00172621,0.00172621,0.00172621,0.00172621,
1 Hz, ,0.00662399,0.00662399,0.00662399,0.00662399,0.00662399,0.00662399,0.00662399,0.00662399,
1.5 Hz, ,0.00184052,0.00184052,0.00184052,0.00184052,0.00184052,0.00184052,0.00184052,0.00184052,
2 Hz, ,0.00663039,0.00663039,0.00663039,0.00663039,0.00663039,0.00663039,0.00663039,0.00663039,
2.5 Hz, ,0.00205355,0.00205355,0.00205355,0.00205355,0.00205355,0.00205355,0.00205355,0.00205355,
3 Hz, ,0.00664103,0.00664103,0.00664103,0.00664103,0.00664103,0.00664103,0.00664103,0.00664103,
3.5 Hz, ,0.0023447,0.0023447,0.0023447,0.0023447,0.0023447,0.0023447,0.0023447,0.0023447,
4 Hz, ,0.00665586,0.00665586,0.00665586,0.00665586,0.00665586,0.00665586,0.00665586,0.00665586,
4.5 Hz, ,0.00269727,0.00269727,0.00269727,0.00269727,0.00269727,0.00269727,0.00269727,0.00269727,
5 Hz, ,0.0066748,0.0066748,0.0066748,0.0066748,0.0066748,0.0066748,0.0066748,0.0066748,
5.5 Hz, ,0.00310093,0.00310093,0.00310093,0.00310093,0.00310093,0.00310093,0.00310093,0.00310093,
6 Hz, ,0.00669777,0.00669777,0.00669777,0.00669777,0.00669777,0.00669777,0.00669777,0.00669777,
6.5 Hz, ,0.0035509,0.0035509,0.0035509,0.0035509,0.0035509,0.0035509,0.0035509,0.0035509,
7 Hz, ,0.00672468,0.00672468,0.00672468,0.00672468,0.00672468,0.00672468,0.00672468,0.00672468,
7.5 Hz, ,0.00404664,0.00404664,0.00404664,0.00404664,0.00404664,0.00404664,0.00404664,0.00404664,
8 Hz, ,0.00675539,0.00675539,0.00675539,0.00675539,0.00675539,0.00675539,0.00675539,0.00675539,
8.5 Hz, ,0.00459078,0.00459078,0.00459078,0.00459078,0.00459078,0.00459078,0.00459078,0.00459078,
9 Hz, ,0.00678977,0.00678977,0.00678977,0.00678977,0.00678977,0.00678977,0.00678977,0.00678977,
9.5 Hz, ,0.00518863,0.00518863,0.00518863,0.00518863,0.00518863,0.00518863,0.00518863,0.00518863,
10 Hz, ,0.00682767,0.00682767,0.00682767,0.00682767,0.00682767,0.00682767,0.00682767,0.00682767,
10.5 Hz, ,0.00584815,0.00584815,0.00584815,0.00584815,0.00584815,0.00584815,0.00584815,0.00584815,
11 Hz, ,0.00686894,0.00686894,0.00686894,0.00686894,0.00686894,0.00686894,0.00686894,0.00686894,
11.5 Hz, ,0.00658016,0.00658016,0.00658016,0.00658016,0.00658016,0.00658016,0.00658016,0.00658016,
12 Hz, ,0.0069134,0.0069134,0.0069134,0.0069134,0.0069134,0.0069134,0.0069134,0.0069134,
12.5 Hz, ,0.00739901,0.00739901,0.00739901,0.00739901,0.00739901,0.00739901,0.00739901,0.00739901,
13 Hz, ,0.00696086,0.00696086,0.00696086,0.00696086,0.00696086,0.00696086,0.00696086,0.00696086,
13.5 Hz, ,0.00832363,0.00832363,0.00832363,0.00832363,0.00832363,0.00832363,0.00832363,0.00832363,
14 Hz, ,0.00701114,0.00701114,0.00701114,0.00701114,0.00701114,0.00701114,0.00701114,0.00701114,
14.5 Hz, ,0.00937918,0.00937918,0.00937918,0.00937918,0.00937918,0.00937918,0.00937918,0.00937918,
15 Hz, ,0.00706404,0.00706404,0.00706404,0.00706404,0.00706404,0.00706404,0.00706404,0.00706404,
15.5 Hz, ,0.0105996,0.0105996,0.0105996,0.0105996,0.0105996,0.0105996,0.0105996,0.0105996,
16 Hz, ,0.00711937,0.00711937,0.00711937,0.00711937,0.00711937,0.00711937,0.00711937,0.00711937,
16.5 Hz, ,0.012032,0.012032,0.012032,0.012032,0.012032,0.012032,0.012032,0.012032,
17 Hz, ,0.00717687,0.00717687,0.00717687,0.00717687,0.00717687,0.00717687,0.00717687,0.00717687,
17.5 Hz, ,0.0137431,0.0137431,0.0137431,0.0137431,0.0137431,0.0137431,0.0137431,0.0137431,
18 Hz, ,0.0072364,0.0072364,0.0072364,0.0072364,0.0072364,0.0072364,0.0072364,0.0072364,
18.5 Hz, ,0.0158309,0.0158309,0.0158309,0.0158309,0.0158309,0.0158309,0.0158309,0.0158309,
19 Hz, ,0.00729773,0.00729773,0.00729773,0.00729773,0.00729773,0.00729773,0.00729773,0.00729773,
19.5 Hz, ,0.0184458,0.0184458,0.0184458,0.0184458,0.0184458,0.0184458,0.0184458,0.0184458,
20 Hz, ,0.00736064,0.00736064,0.00736064,0.00736064,0.00736064,0.00736064,0.00736064,0.00736064,
20.5 Hz, ,0.0218306,0.0218306,0.0218306,0.0218306,0.0218306,0.0218306,0.0218306,0.0218306,
21 Hz, ,0.00742492,0.00742492,0.00742492,0.00742492,0.00742492,0.00742492,0.00742492,0.00742492,
21.5 Hz, ,0.0264045,0.0264045,0.0264045,0.0264045,0.0264045,0.0264045,0.0264045,0.0264045,
22 Hz, ,0.00749035,0.00749035,0.00749035,0.00749035,0.00749035,0.00749035,0.00749035,0.00749035,
22.5 Hz, ,0.032959,0.032959,0.032959,0.032959,0.032959,0.032959,0.032959,0.032959,
23 Hz, ,0.00755672,0.00755672,0.00755672,0.00755672,0.00755672,0.00755672,0.00755672,0.00755672,
23.5 Hz, ,0.0431903,0.0431903,0.0431903,0.0431903,0.0431903,0.0431903,0.0431903,0.0431903,
24 Hz, ,0.00762381,0.00762381,0.00762381,0.00762381,0.00762381,0.00762381,0.00762381,0.00762381,
24.5 Hz, ,0.0615079,0.0615079,0.0615079,0.0615079,0.0615079,0.0615079,0.0615079,0.0615079,
25 Hz, ,0.00769138,0.00769138,0.00769138,0.00769138,0.00769138,0.00769138,0.00769138,0.00769138,
25.5 Hz, ,0.10408,0.10408,0.10408,0.10408,0.10408,0.10408,0.10408,0.10408,
26 Hz, ,0.00775899,0.00775899,0.00775899,0.00775899,0.00775899,0.00775899,0.00775899,0.00775899,
26.5 Hz, ,0.316419,0.316419,0.316419,0.316419,0.316419,0.316419,0.316419,0.316419,
27 Hz, ,0.49226,0.49226,0.49226,0.49226,0.49226,0.49226,0.49226,0.49226,
27.5 Hz, ,0.320064,0.320064,0.320064,0.320064,0.320064,0.320064,0.320064,0.320064,
28 Hz, ,0.00789733,0.00789733,0.00789733,0.00789733,0.00789733,0.00789733,0.00789733,0.00789733,
28.5 Hz, ,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,0.107717,
29 Hz, ,0.00796484,0.00796484,0.00796484,0.00796484,0.00796484,0.00796484,0.00796484,0.00796484,
29.5 Hz, ,0.0651335,0.0651335,0.0651335,0.0651335,0.0651335,0.0651335,0.0651335,0.0651335,
30 Hz, ,0.00803229,0.00803229,0.00803229,0.00803229,0.00803229,0.00803229,0.00803229,0.00803229,
30.5 Hz, ,0.0467991,0.0467991,0.0467991,0.0467991,0.0467991,0.0467991,0.0467991,0.0467991,
31 Hz, ,0.00809925,0.00809925,0.00809925,0.00809925,0.00809925,0.00809925,0.00809925,0.00809925,
31.5 Hz, ,0.0365456,0.0365456,0.0365456,0.0365456,0.0365456,0.0365456,0.0365456,0.0365456,
32 Hz, ,0.00816553,0.00816553,0.00816553,0.00816553,0.00816553,0.00816553,0.00816553,0.00816553,
32.5 Hz, ,0.0299636,0.0299636,0.0299636,0.0299636,0.0299636,0.0299636,0.0299636,0.0299636,
33 Hz, ,0.0082311,0.0082311,0.0082311,0.0082311,0.0082311,0.0082311,0.0082311,0.0082311,
33.5 Hz, ,0.0253569,0.0253569,0.0253569,0.0253569,0.0253569,0.0253569,0.0253569,0.0253569,
34 Hz, ,0.00829538,0.00829538,0.00829538,0.00829538,0.00829538,0.00829538,0.00829538,0.00829538,
34.5 Hz, ,0.021934,0.021934,0.021934,0.021934,0.021934,0.021934,0.021934,0.021934,
35 Hz, ,0.00835851,0.00835851,0.00835851,0.00835851,0.00835851,0.00835851,0.00835851,0.00835851,
35.5 Hz, ,0.019276,0.019276,0.019276,0.019276,0.019276,0.019276,0.019276,0.019276,
36 Hz, ,0.0084203,0.0084203,0.0084203,0.0084203,0.0084203,0.0084203,0.0084203,0.0084203,
36.5 Hz, ,0.0171401,0.0171401,0.0171401,0.0171401,0.0171401,0.0171401,0.0171401,0.0171401,
37 Hz, ,0.00848062,0.00848062,0.00848062,0.00848062,0.00848062,0.00848062,0.00848062,0.00848062,
37.5 Hz, ,0.0153762,0.0153762,0.0153762,0.0153762,0.0153762,0.0153762,0.0153762,0.0153762,
38 Hz, ,0.00853933,0.00853933,0.00853933,0.00853933,0.00853933,0.00853933,0.00853933,0.00853933,
38.5 Hz, ,0.0138862,0.0138862,0.0138862,0.0138862,0.0138862,0.0138862,0.0138862,0.0138862,
